,id,first_name,last_name,email,gender,ip_address,animal_name
758,759.0,Carlin,Monks,cmonksl2@mapquest.com,Male,175.170.5.128,#1 Kungfu Panda Dragon Warrior
751,752.0,Brandtr,Cardenas,bcardenaskv@nydailynews.com,Male,109.3.168.77,African polecat
836,837.0,Guntar,McComish,gmccomishn8@cam.ac.uk,Male,15.33.1.243,African wild cat
666,667.0,Rufe,Shortt,rshorttii@umn.edu,Male,1.240.63.233,Bobcat
657,658.0,Mattie,Adam,madami9@japanpost.jp,Male,96.201.183.40,Burrowing owl
487,488.0,Schuyler,Groom,sgroomdj@hexun.com,Male,128.174.105.104,European wild cat
244,245.0,Alameda,Potticary,apotticary6s@ifeng.com,Female,47.21.149.250,Great horned owl
91,92.0,Joceline,Bartolomeazzi,jbartolomeazzi2j@webmd.com,Female,151.223.215.78,Jungle cat
927,928.0,Gustave,Peachment,gpeachmentpr@tinyurl.com,Male,116.178.78.110,Jungle cat
932,933.0,Marsiella,Backs,mbackspw@dion.ne.jp,Female,100.178.201.234,Kaffir cat
553,554.0,Reuben,Clogg,rcloggfd@pagesperso-orange.fr,Male,188.252.49.187,"Kangaroo, jungle"
209,210.0,Carce,Tregidga,ctregidga5t@google.fr,Male,216.171.211.123,"Kangaroo, jungle"
252,253.0,Currey,Tubridy,ctubridy70@amazon.co.uk,Male,212.251.83.189,Madagascar hawk owl
871,872.0,Guglielmo,Shacklady,gshackladyo7@fastcompany.com,Male,252.206.12.224,Miner's cat
429,430.0,Paula,Southcomb,psouthcombbx@narod.ru,Female,141.190.171.124,Tiger cat
415,416.0,Hugo,McKinless,hmckinlessbj@discuz.net,Male,100.88.140.202,Toddy cat
587,588.0,Doroteya,Poli,dpoligb@mlb.com,Female,118.85.131.240,White-browed owl
88,89.0,Garvy,Champ,gchamp2g@patch.com,Male,25.152.201.132,White-browed owl
